group,item,target,distractor,image,condition,SOA
A,7,wardrobe,wardrobe,wardrobeID_posSOA.gif,ID,150
A,94,coat,coat,coatNEU_negSOA.gif,NEU,-150
A,93,cannon,pistol,cannonREL_posSOA.gif,REL,150
A,69,rabbit,deer,rabbitREL_posSOA.gif,REL,150
A,35,cup,cup,cupNEU_negSOA.gif,NEU,-150
A,31,arm,arm,arm_ID.png,ID,0
A,5,castle,church,castleREL_negSOA.gif,REL,-150
A,43,car,car,carNEU_negSOA.gif,NEU,-150
A,16,rabbit,church,rabbitUNREL_negSOA.gif,UNREL,-150
A,93,cannon,pistol,cannon_REL.png,REL,0
A,43,car,car,carNEU_posSOA.gif,NEU,150
A,20,train,arm,train_UNREL.png,UNREL,0
A,112,glass,plane,glassUNREL_negSOA.gif,UNREL,-150
A,125,table,wardrobe,tableREL_negSOA.gif,REL,-150
A,32,dagger,sweater,daggerUNREL_negSOA.gif,UNREL,-150
A,42,desk,bed,deskREL_posSOA.gif,REL,150
A,15,coat,coat,coatID_negSOA.gif,ID,-150
A,51,castle,castle,castle_NEU.png,NEU,0
A,73,cup,cup,cupID_negSOA.gif,ID,-150
A,52,pistol,bed,pistolUNREL_posSOA.gif,UNREL,150
A,108,coat,castle,coat_UNREL.png,UNREL,0
A,31,arm,arm,armID_negSOA.gif,ID,-150
A,53,swan,tortoise,swanREL_posSOA.gif,REL,150
A,62,plate,plate,plate_NEU.png,NEU,0
A,29,leg,ear,leg_REL.png,REL,0
A,105,dagger,dagger,daggerID_negSOA.gif,ID,-150
A,43,car,car,car_NEU.png,NEU,0
A,47,church,church,church_ID.png,ID,0
A,13,skirt,sweater,skirtREL_posSOA.gif,REL,150
A,98,plate,glass,plateREL_posSOA.gif,REL,150
A,110,windmill,windmill,windmill_NEU.png,NEU,0
A,15,coat,coat,coat_ID.png,ID,0
A,32,dagger,sweater,dagger_UNREL.png,UNREL,0
A,99,rabbit,rabbit,rabbitNEU_posSOA.gif,NEU,150
A,64,car,leg,carUNREL_posSOA.gif,UNREL,150
A,37,car,plane,carREL_posSOA.gif,REL,150
A,55,ear,ear,earID_posSOA.gif,ID,150
A,115,swan,swan,swan_NEU.png,NEU,0
A,56,table,sword,tableUNREL_negSOA.gif,UNREL,-150
A,105,dagger,dagger,daggerID_posSOA.gif,ID,150
A,75,bike,bike,bikeNEU_negSOA.gif,NEU,-150
A,108,coat,castle,coatUNREL_negSOA.gif,UNREL,-150
A,81,pistol,pistol,pistol_ID.png,ID,0
A,3,sweater,sweater,sweater_NEU.png,NEU,0
A,71,jug,jug,jug_ID.png,ID,0
A,27,vest,vest,vest_NEU.png,NEU,0
A,61,sweater,skirt,sweater_REL.png,REL,0
A,34,train,bike,trainREL_posSOA.gif,REL,150
A,77,vest,coat,vest_REL.png,REL,0
A,116,wardrobe,bike,wardrobeUNREL_posSOA.gif,UNREL,150
A,126,sword,sword,sword_NEU.png,NEU,0
A,87,windmill,windmill,windmill_ID.png,ID,0
A,34,train,bike,train_REL.png,REL,0
A,13,skirt,sweater,skirtREL_negSOA.gif,REL,-150
A,40,sweater,dagger,sweaterUNREL_negSOA.gif,UNREL,-150
A,118,deer,deer,deerNEU_negSOA.gif,NEU,-150
A,60,sword,table,swordUNREL_posSOA.gif,UNREL,150
A,4,plate,cannon,plate_UNREL.png,UNREL,0
A,94,coat,coat,coatNEU_posSOA.gif,NEU,150
A,76,nose,factory,noseUNREL_negSOA.gif,UNREL,-150
A,7,wardrobe,wardrobe,wardrobe_ID.png,ID,0
A,118,deer,deer,deer_NEU.png,NEU,0
A,72,bike,wardrobe,bikeUNREL_negSOA.gif,UNREL,-150
A,112,glass,plane,glassUNREL_posSOA.gif,UNREL,150
A,120,leg,car,leg_UNREL.png,UNREL,0
A,46,plane,plane,plane_NEU.png,NEU,0
A,2,church,castle,church_REL.png,REL,0
A,1,table,table,table_ID.png,ID,0
A,2,church,castle,churchREL_posSOA.gif,REL,150
A,103,tortoise,tortoise,tortoise_ID.png,ID,0
A,54,church,church,churchNEU_posSOA.gif,NEU,150
A,50,bike,train,bike_REL.png,REL,0
A,111,sword,sword,swordID_posSOA.gif,ID,150
A,88,castle,coat,castleUNREL_posSOA.gif,UNREL,150
A,46,plane,plane,planeNEU_posSOA.gif,NEU,150
A,14,factory,factory,factory_NEU.png,NEU,0
A,116,wardrobe,bike,wardrobe_UNREL.png,UNREL,0
A,63,plane,plane,plane_ID.png,ID,0
A,101,dagger,sword,dagger_REL.png,REL,0
A,121,factory,factory,factory_ID.png,ID,0
A,1,table,table,tableID_negSOA.gif,ID,-150
A,9,cannon,cannon,cannon_ID.png,ID,0
A,37,car,plane,carREL_negSOA.gif,REL,-150
A,28,plane,glass,planeUNREL_negSOA.gif,UNREL,-150
A,5,castle,church,castle_REL.png,REL,0
A,76,nose,factory,nose_UNREL.png,UNREL,0
A,38,train,train,train_NEU.png,NEU,0
A,109,cup,jug,cup_REL.png,REL,0
A,127,deer,deer,deerID_posSOA.gif,ID,150
A,125,table,wardrobe,table_REL.png,REL,0
A,46,plane,plane,planeNEU_negSOA.gif,NEU,-150
A,68,jug,windmill,jug_UNREL.png,UNREL,0
A,58,coat,vest,coat_REL.png,REL,0
A,18,bed,desk,bedREL_posSOA.gif,REL,150
A,74,factory,windmill,factoryREL_negSOA.gif,REL,-150
A,51,castle,castle,castleNEU_negSOA.gif,NEU,-150
