group,item,target,distractor,image,condition,SOA
A,1,tortoise,tortoise,image/tortoiseID_posSOA.mp4,ID,150
A,2,dagger,dagger,image/dagger_NEU.mp4,NEU,0
A,3,leg,leg,image/legID_negSOA.mp4,ID,-150
A,4,sword,dagger,image/sword_REL.mp4,REL,0
A,5,nose,nose,image/nose_ID.mp4,ID,0
A,6,castle,castle,image/castleNEU_posSOA.mp4,NEU,150
A,7,nose,arm,image/noseREL_negSOA.mp4,REL,-150
A,8,deer,deer,image/deer_ID.mp4,ID,0
A,9,plane,car,image/planeREL_posSOA.mp4,REL,150
A,10,sword,sword,image/swordNEU_negSOA.mp4,NEU,-150
A,11,train,arm,image/trainUNREL_negSOA.mp4,UNREL,-150
A,12,skirt,swan,image/skirtUNREL_posSOA.mp4,UNREL,150
A,13,rabbit,church,image/rabbit_UNREL.mp4,UNREL,0
A,14,windmill,factory,image/windmillREL_negSOA.mp4,REL,-150
A,15,table,wardrobe,image/tableREL_posSOA.mp4,REL,150
A,16,windmill,windmill,image/windmillNEU_negSOA.mp4,NEU,-150
A,17,plate,cannon,image/plateUNREL_posSOA.mp4,UNREL,150
A,18,glass,glass,image/glassID_negSOA.mp4,ID,-150
A,19,castle,coat,image/castleUNREL_negSOA.mp4,UNREL,-150
A,20,leg,leg,image/legID_posSOA.mp4,ID,150
A,21,church,church,image/churchNEU_negSOA.mp4,NEU,-150
A,22,leg,car,image/legUNREL_posSOA.mp4,UNREL,150
A,23,nose,arm,image/noseREL_posSOA.mp4,REL,150
A,24,arm,arm,image/armNEU_negSOA.mp4,NEU,-150
A,25,tortoise,cup,image/tortoiseUNREL_posSOA.mp4,UNREL,150
A,26,swan,tortoise,image/swan_REL.mp4,REL,0
A,27,coat,castle,image/coatUNREL_posSOA.mp4,UNREL,150
A,28,windmill,windmill,image/windmillID_negSOA.mp4,ID,-150
A,29,table,table,image/tableID_posSOA.mp4,ID,150
A,30,arm,nose,image/armREL_posSOA.mp4,REL,150
A,31,bed,bed,image/bedNEU_negSOA.mp4,NEU,-150
A,32,leg,car,image/legUNREL_negSOA.mp4,UNREL,-150
A,33,wardrobe,table,image/wardrobeREL_negSOA.mp4,REL,-150
A,34,deer,desk,image/deerUNREL_negSOA.mp4,UNREL,-150
A,35,vest,vest,image/vestNEU_negSOA.mp4,NEU,-150
A,36,pistol,bed,image/pistolUNREL_negSOA.mp4,UNREL,-150
A,37,vest,coat,image/vestREL_negSOA.mp4,REL,-150
