group,item,target,distractor,image,condition,SOA
A,7,wardrobe,wardrobe,image/wardrobeID_posSOA.mp4,ID,150
A,94,coat,coat,image/coatNEU_negSOA.mp4,NEU,-150
A,93,cannon,pistol,image/cannonREL_posSOA.mp4,REL,150
A,69,rabbit,deer,image/rabbitREL_posSOA.mp4,REL,150
A,35,cup,cup,image/cupNEU_negSOA.mp4,NEU,-150
A,31,arm,arm,image/arm_ID.mp4,ID,0
A,5,castle,church,image/castleREL_negSOA.mp4,REL,-150
A,43,car,car,image/carNEU_negSOA.mp4,NEU,-150
A,16,rabbit,church,image/rabbitUNREL_negSOA.mp4,UNREL,-150
A,93,cannon,pistol,image/cannon_REL.mp4,REL,0
A,43,car,car,image/carNEU_posSOA.mp4,NEU,150
A,20,train,arm,image/train_UNREL.mp4,UNREL,0
A,112,glass,plane,image/glassUNREL_negSOA.mp4,UNREL,-150
A,125,table,wardrobe,image/tableREL_negSOA.mp4,REL,-150
A,32,dagger,sweater,image/daggerUNREL_negSOA.mp4,UNREL,-150
A,42,desk,bed,image/deskREL_posSOA.mp4,REL,150
A,15,coat,coat,image/coatID_negSOA.mp4,ID,-150
A,51,castle,castle,image/castle_NEU.mp4,NEU,0
A,73,cup,cup,image/cupID_negSOA.mp4,ID,-150
A,52,pistol,bed,image/pistolUNREL_posSOA.mp4,UNREL,150
A,108,coat,castle,image/coat_UNREL.mp4,UNREL,0
A,31,arm,arm,image/armID_negSOA.mp4,ID,-150
A,53,swan,tortoise,image/swanREL_posSOA.mp4,REL,150
A,62,plate,plate,image/plate_NEU.mp4,NEU,0
A,29,leg,ear,image/leg_REL.mp4,REL,0
A,105,dagger,dagger,image/daggerID_negSOA.mp4,ID,-150
A,43,car,car,image/car_NEU.mp4,NEU,0
A,47,church,church,image/church_ID.mp4,ID,0
A,13,skirt,sweater,image/skirtREL_posSOA.mp4,REL,150
A,98,plate,glass,image/plateREL_posSOA.mp4,REL,150
A,110,windmill,windmill,image/windmill_NEU.mp4,NEU,0
A,15,coat,coat,image/coat_ID.mp4,ID,0
A,32,dagger,sweater,image/dagger_UNREL.mp4,UNREL,0
A,99,rabbit,rabbit,image/rabbitNEU_posSOA.mp4,NEU,150
A,64,car,leg,image/carUNREL_posSOA.mp4,UNREL,150
A,37,car,plane,image/carREL_posSOA.mp4,REL,150
A,55,ear,ear,image/earID_posSOA.mp4,ID,150
A,115,swan,swan,image/swan_NEU.mp4,NEU,0
A,56,table,sword,image/tableUNREL_negSOA.mp4,UNREL,-150
A,105,dagger,dagger,image/daggerID_posSOA.mp4,ID,150
A,75,bike,bike,image/bikeNEU_negSOA.mp4,NEU,-150
A,108,coat,castle,image/coatUNREL_negSOA.mp4,UNREL,-150
A,81,pistol,pistol,image/pistol_ID.mp4,ID,0
A,3,sweater,sweater,image/sweater_NEU.mp4,NEU,0
A,71,jug,jug,image/jug_ID.mp4,ID,0
A,27,vest,vest,image/vest_NEU.mp4,NEU,0
A,61,sweater,skirt,image/sweater_REL.mp4,REL,0
A,34,train,bike,image/trainREL_posSOA.mp4,REL,150
A,77,vest,coat,image/vest_REL.mp4,REL,0
A,116,wardrobe,bike,image/wardrobeUNREL_posSOA.mp4,UNREL,150
A,126,sword,sword,image/sword_NEU.mp4,NEU,0
A,87,windmill,windmill,image/windmill_ID.mp4,ID,0
A,34,train,bike,image/train_REL.mp4,REL,0
A,13,skirt,sweater,image/skirtREL_negSOA.mp4,REL,-150
A,40,sweater,dagger,image/sweaterUNREL_negSOA.mp4,UNREL,-150
A,118,deer,deer,image/deerNEU_negSOA.mp4,NEU,-150
A,60,sword,table,image/swordUNREL_posSOA.mp4,UNREL,150
A,4,plate,cannon,image/plate_UNREL.mp4,UNREL,0
A,94,coat,coat,image/coatNEU_posSOA.mp4,NEU,150
A,76,nose,factory,image/noseUNREL_negSOA.mp4,UNREL,-150
A,7,wardrobe,wardrobe,image/wardrobe_ID.mp4,ID,0
A,118,deer,deer,image/deer_NEU.mp4,NEU,0
A,72,bike,wardrobe,image/bikeUNREL_negSOA.mp4,UNREL,-150
A,112,glass,plane,image/glassUNREL_posSOA.mp4,UNREL,150
A,120,leg,car,image/leg_UNREL.mp4,UNREL,0
A,46,plane,plane,image/plane_NEU.mp4,NEU,0
A,2,church,castle,image/church_REL.mp4,REL,0
A,1,table,table,image/table_ID.mp4,ID,0
A,2,church,castle,image/churchREL_posSOA.mp4,REL,150
A,103,tortoise,tortoise,image/tortoise_ID.mp4,ID,0
A,54,church,church,image/churchNEU_posSOA.mp4,NEU,150
A,50,bike,train,image/bike_REL.mp4,REL,0
A,111,sword,sword,image/swordID_posSOA.mp4,ID,150
A,88,castle,coat,image/castleUNREL_posSOA.mp4,UNREL,150
A,46,plane,plane,image/planeNEU_posSOA.mp4,NEU,150
