group,item,target,distractor,image,condition,SOA
A,42,desk,bed,deskREL_negSOA.gif,REL,-150
A,76,nose,factory,noseUNREL_posSOA.gif,UNREL,150
A,94,coat,coat,coatNEU_negSOA.gif,NEU,-150
A,80,windmill,jug,windmillUNREL_posSOA.gif,UNREL,150
A,113,rabbit,rabbit,rabbitID_negSOA.gif,ID,-150
A,35,cup,cup,cupNEU_negSOA.gif,NEU,-150
A,82,sword,dagger,swordREL_negSOA.gif,REL,-150
A,124,ear,vest,earUNREL_negSOA.gif,UNREL,-150
A,43,car,car,carNEU_negSOA.gif,NEU,-150
A,72,bike,wardrobe,bike_UNREL.png,UNREL,0
A,114,pistol,cannon,pistol_REL.png,REL,0
A,116,wardrobe,bike,wardrobeUNREL_negSOA.gif,UNREL,-150
A,43,car,car,carNEU_posSOA.gif,NEU,150
A,92,factory,nose,factoryUNREL_negSOA.gif,UNREL,-150
A,36,skirt,swan,skirtUNREL_negSOA.gif,UNREL,-150
A,100,desk,deer,desk_UNREL.png,UNREL,0
A,45,wardrobe,table,wardrobeREL_posSOA.gif,REL,150
A,73,cup,cup,cup_ID.png,ID,0
A,95,nose,nose,noseID_negSOA.gif,ID,-150
A,51,castle,castle,castle_NEU.png,NEU,0
A,104,cannon,plate,cannon_UNREL.png,UNREL,0
A,84,church,rabbit,churchUNREL_posSOA.gif,UNREL,150
A,62,plate,plate,plate_NEU.png,NEU,0
A,100,desk,deer,deskUNREL_posSOA.gif,UNREL,150
A,111,sword,sword,swordID_negSOA.gif,ID,-150
A,112,glass,plane,glass_UNREL.png,UNREL,0
A,80,windmill,jug,windmill_UNREL.png,UNREL,0
A,36,skirt,swan,skirt_UNREL.png,UNREL,0
A,43,car,car,car_NEU.png,NEU,0
A,109,cup,jug,cupREL_negSOA.gif,REL,-150
A,81,pistol,pistol,pistolID_posSOA.gif,ID,150
A,110,windmill,windmill,windmill_NEU.png,NEU,0
A,65,castle,castle,castleID_negSOA.gif,ID,-150
A,99,rabbit,rabbit,rabbitNEU_posSOA.gif,NEU,150
A,68,jug,windmill,jugUNREL_posSOA.gif,UNREL,150
A,81,pistol,pistol,pistolID_posSOA.gif,ID,150
A,115,swan,swan,swan_NEU.png,NEU,0
A,12,deer,desk,deerUNREL_posSOA.gif,UNREL,150
A,41,glass,glass,glassID_posSOA.gif,ID,150
A,75,bike,bike,bikeNEU_negSOA.gif,NEU,-150
A,9,cannon,cannon,cannonID_posSOA.gif,ID,150
A,74,factory,windmill,factoryREL_posSOA.gif,REL,150
A,44,tortoise,cup,tortoise_UNREL.png,UNREL,0
A,106,jug,cup,jug_REL.png,REL,0
A,3,sweater,sweater,sweater_NEU.png,NEU,0
A,18,bed,desk,bedREL_negSOA.gif,REL,-150
A,82,sword,dagger,swordREL_posSOA.gif,REL,150
A,65,castle,castle,castleID_posSOA.gif,ID,150
A,27,vest,vest,vest_NEU.png,NEU,0
A,118,deer,deer,deerNEU_negSOA.gif,NEU,-150
A,114,pistol,cannon,pistolREL_negSOA.gif,REL,-150
A,25,bed,bed,bed_ID.png,ID,0
A,126,sword,sword,sword_NEU.png,NEU,0
A,104,cannon,plate,cannonUNREL_negSOA.gif,UNREL,-150
A,92,factory,nose,factory_UNREL.png,UNREL,0
A,15,coat,coat,coatID_posSOA.gif,ID,150
A,48,vest,ear,vestUNREL_posSOA.gif,UNREL,150
A,89,sweater,sweater,sweater_ID.png,ID,0
A,127,deer,deer,deerID_negSOA.gif,ID,-150
A,48,vest,ear,vest_UNREL.png,UNREL,0
A,10,tortoise,swan,tortoise_REL.png,REL,0
A,94,coat,coat,coatNEU_posSOA.gif,NEU,150
A,124,ear,vest,ear_UNREL.png,UNREL,0
A,111,sword,sword,sword_ID.png,ID,0
A,55,ear,ear,earID_negSOA.gif,ID,-150
A,113,rabbit,rabbit,rabbit_ID.png,ID,0
A,118,deer,deer,deer_NEU.png,NEU,0
A,10,tortoise,swan,tortoiseREL_negSOA.gif,REL,-150
A,71,jug,jug,jugID_negSOA.gif,ID,-150
A,40,sweater,dagger,sweater_UNREL.png,UNREL,0
A,79,train,train,train_ID.png,ID,0
A,46,plane,plane,plane_NEU.png,NEU,0
A,42,desk,bed,desk_REL.png,REL,0
A,23,plate,plate,plateID_posSOA.gif,ID,150
A,54,church,church,churchNEU_posSOA.gif,NEU,150
A,33,desk,desk,deskID_posSOA.gif,ID,150
A,53,swan,tortoise,swanREL_negSOA.gif,REL,-150
A,60,sword,table,swordUNREL_negSOA.gif,UNREL,-150
A,58,coat,vest,coatREL_negSOA.gif,REL,-150
A,14,factory,factory,factory_NEU.png,NEU,0
A,26,plane,car,planeREL_negSOA.gif,REL,-150
A,74,factory,windmill,factory_REL.png,REL,0
A,46,plane,plane,planeNEU_posSOA.gif,NEU,150
A,40,sweater,dagger,sweaterUNREL_posSOA.gif,UNREL,150
A,103,tortoise,tortoise,tortoiseID_negSOA.gif,ID,-150
A,38,train,train,train_NEU.png,NEU,0
A,63,plane,plane,planeID_negSOA.gif,ID,-150
A,73,cup,cup,cupID_posSOA.gif,ID,150
A,122,ear,leg,ear_REL.png,REL,0
A,46,plane,plane,planeNEU_negSOA.gif,NEU,-150
A,97,vest,vest,vestID_negSOA.gif,ID,-150
A,114,pistol,cannon,pistolREL_posSOA.gif,REL,150
A,101,dagger,sword,daggerREL_negSOA.gif,REL,-150
A,51,castle,castle,castleNEU_negSOA.gif,NEU,-150
A,39,skirt,skirt,skirtID_negSOA.gif,ID,-150
A,56,table,sword,tableUNREL_posSOA.gif,UNREL,150
