group,item,target,distractor,image,image_2,condition,SOA
A,119,car,car,image/carID_posSOA.png,image/carID_posSOA2.png,ID,150
A,68,jug,windmill,image/jugUNREL_negSOA.png,image/jugUNREL_negSOA2.png,UNREL,-150
A,91,cannon,cannon,image/cannonNEU_negSOA.png,image/cannonNEU_negSOA2.png,NEU,-150
A,72,bike,wardrobe,image/bikeUNREL_posSOA.png,image/bikeUNREL_posSOA2.png,UNREL,150
A,28,plane,glass,image/planeUNREL_posSOA.png,image/planeUNREL_posSOA2.png,UNREL,150
A,22,jug,jug,image/jug_NEU.png,image/jug_NEU2.png,NEU,0
A,128,bed,pistol,image/bedUNREL_negSOA.png,image/bedUNREL_negSOA2.png,UNREL,-150
A,12,deer,desk,image/deer_UNREL.png,image/deer_UNREL2.png,UNREL,0
A,28,plane,glass,image/plane_UNREL.png,image/plane_UNREL2.png,UNREL,0
A,35,cup,cup,image/cupNEU_posSOA.png,image/cupNEU_posSOA2.png,NEU,150
A,55,ear,ear,image/ear_ID.png,image/ear_ID2.png,ID,0
A,48,vest,ear,image/vestUNREL_negSOA.png,image/vestUNREL_negSOA2.png,UNREL,-150
A,44,tortoise,cup,image/tortoiseUNREL_negSOA.png,image/tortoiseUNREL_negSOA2.png,UNREL,-150
A,62,plate,plate,image/plateNEU_negSOA.png,image/plateNEU_negSOA2.png,NEU,-150
A,18,bed,desk,image/bed_REL.png,image/bed_REL2.png,REL,0
A,106,jug,cup,image/jugREL_negSOA.png,image/jugREL_negSOA2.png,REL,-150
A,80,windmill,jug,image/windmillUNREL_negSOA.png,image/windmillUNREL_negSOA2.png,UNREL,-150
A,27,vest,vest,image/vestNEU_posSOA.png,image/vestNEU_posSOA2.png,NEU,150
A,17,bike,bike,image/bike_ID.png,image/bike_ID2.png,ID,0
A,65,castle,castle,image/castle_ID.png,image/castle_ID2.png,ID,0
A,99,rabbit,rabbit,image/rabbit_NEU.png,image/rabbit_NEU2.png,NEU,0
A,90,deer,rabbit,image/deerREL_posSOA.png,image/deerREL_posSOA2.png,REL,150
A,67,glass,glass,image/glass_NEU.png,image/glass_NEU2.png,NEU,0
A,128,bed,pistol,image/bedUNREL_posSOA.png,image/bedUNREL_posSOA2.png,UNREL,150
A,70,wardrobe,wardrobe,image/wardrobe_NEU.png,image/wardrobe_NEU2.png,NEU,0
A,97,vest,vest,image/vestID_posSOA.png,image/vestID_posSOA2.png,ID,150
A,85,glass,plate,image/glassREL_negSOA.png,image/glassREL_negSOA2.png,REL,-150
A,86,tortoise,tortoise,image/tortoiseNEU_posSOA.png,image/tortoiseNEU_posSOA2.png,NEU,150
A,8,arm,train,image/arm_UNREL.png,image/arm_UNREL2.png,UNREL,0
A,109,cup,jug,image/cupREL_posSOA.png,image/cupREL_posSOA2.png,REL,150
A,118,deer,deer,image/deerNEU_posSOA.png,image/deerNEU_posSOA2.png,NEU,150
A,96,cup,tortoise,image/cupUNREL_negSOA.png,image/cupUNREL_negSOA2.png,UNREL,-150
A,99,rabbit,rabbit,image/rabbitNEU_negSOA.png,image/rabbitNEU_negSOA2.png,NEU,-150
A,49,swan,swan,image/swanID_posSOA.png,image/swanID_posSOA2.png,ID,150
A,57,leg,leg,image/leg_ID.png,image/leg_ID2.png,ID,0
A,92,factory,nose,image/factoryUNREL_posSOA.png,image/factoryUNREL_posSOA2.png,UNREL,150
A,107,skirt,skirt,image/skirtNEU_posSOA.png,image/skirtNEU_posSOA2.png,NEU,150
A,98,plate,glass,image/plate_REL.png,image/plate_REL2.png,REL,0
A,32,dagger,sweater,image/daggerUNREL_posSOA.png,image/daggerUNREL_posSOA2.png,UNREL,150
A,91,cannon,cannon,image/cannon_NEU.png,image/cannon_NEU2.png,NEU,0
A,77,vest,coat,image/vestREL_posSOA.png,image/vestREL_posSOA2.png,REL,150
A,31,arm,arm,image/armID_posSOA.png,image/armID_posSOA2.png,ID,150
A,67,glass,glass,image/glassNEU_posSOA.png,image/glassNEU_posSOA2.png,NEU,150
A,24,swan,skirt,image/swanUNREL_negSOA.png,image/swanUNREL_negSOA2.png,UNREL,-150
A,16,rabbit,church,image/rabbitUNREL_posSOA.png,image/rabbitUNREL_posSOA2.png,UNREL,150
A,10,tortoise,swan,image/tortoiseREL_posSOA.png,image/tortoiseREL_posSOA2.png,REL,150
A,59,arm,arm,image/armNEU_posSOA.png,image/armNEU_posSOA2.png,NEU,150
A,33,desk,desk,image/deskID_negSOA.png,image/deskID_negSOA2.png,ID,-150
A,19,table,table,image/table_NEU.png,image/table_NEU2.png,NEU,0
A,8,arm,train,image/armUNREL_negSOA.png,image/armUNREL_negSOA2.png,UNREL,-150
A,26,plane,car,image/plane_REL.png,image/plane_REL2.png,REL,0
A,19,table,table,image/tableNEU_negSOA.png,image/tableNEU_negSOA2.png,NEU,-150
A,117,arm,nose,image/armREL_negSOA.png,image/armREL_negSOA2.png,REL,-150
A,24,swan,skirt,image/swan_UNREL.png,image/swan_UNREL2.png,UNREL,0
