group,item,target,distractor,image,image_2,condition,SOA
A,7,wardrobe,wardrobe,image/wardrobeID_posSOA.png,image/wardrobeID_posSOA2.png,ID,150
A,94,coat,coat,image/coatNEU_negSOA.png,image/coatNEU_negSOA2.png,NEU,-150
A,93,cannon,pistol,image/cannonREL_posSOA.png,image/cannonREL_posSOA2.png,REL,150
A,69,rabbit,deer,image/rabbitREL_posSOA.png,image/rabbitREL_posSOA2.png,REL,150
A,35,cup,cup,image/cupNEU_negSOA.png,image/cupNEU_negSOA2.png,NEU,-150
A,31,arm,arm,image/arm_ID.png,image/arm_ID2.png,ID,0
A,5,castle,church,image/castleREL_negSOA.png,image/castleREL_negSOA2.png,REL,-150
A,43,car,car,image/carNEU_negSOA.png,image/carNEU_negSOA2.png,NEU,-150
A,16,rabbit,church,image/rabbitUNREL_negSOA.png,image/rabbitUNREL_negSOA2.png,UNREL,-150
A,93,cannon,pistol,image/cannon_REL.png,image/cannon_REL2.png,REL,0
A,43,car,car,image/carNEU_posSOA.png,image/carNEU_posSOA2.png,NEU,150
A,20,train,arm,image/train_UNREL.png,image/train_UNREL2.png,UNREL,0
A,112,glass,plane,image/glassUNREL_negSOA.png,image/glassUNREL_negSOA2.png,UNREL,-150
A,125,table,wardrobe,image/tableREL_negSOA.png,image/tableREL_negSOA2.png,REL,-150
A,32,dagger,sweater,image/daggerUNREL_negSOA.png,image/daggerUNREL_negSOA2.png,UNREL,-150
A,42,desk,bed,image/deskREL_posSOA.png,image/deskREL_posSOA2.png,REL,150
A,15,coat,coat,image/coatID_negSOA.png,image/coatID_negSOA2.png,ID,-150
A,51,castle,castle,image/castle_NEU.png,image/castle_NEU2.png,NEU,0
A,73,cup,cup,image/cupID_negSOA.png,image/cupID_negSOA2.png,ID,-150
A,52,pistol,bed,image/pistolUNREL_posSOA.png,image/pistolUNREL_posSOA2.png,UNREL,150
A,108,coat,castle,image/coat_UNREL.png,image/coat_UNREL2.png,UNREL,0
A,31,arm,arm,image/armID_negSOA.png,image/armID_negSOA2.png,ID,-150
A,53,swan,tortoise,image/swanREL_posSOA.png,image/swanREL_posSOA2.png,REL,150
A,62,plate,plate,image/plate_NEU.png,image/plate_NEU2.png,NEU,0
A,29,leg,ear,image/leg_REL.png,image/leg_REL2.png,REL,0
